1,Ich habe kein Geld mehr für Pommes.,I have no more money for fries,[sound:DE1K_haben_sentence.mp3]
2,Was für eine Pizza wollen wir bestellen?,What kind of pizza do we want to order?,
3,Diese Grammatikregeln werden mir langsam zu kompliziert.,These grammar rules are slowly becoming too complicated for me.,[sound:DE1K_werden_sentence.mp3]
4,Ich möchte auch in den Zoo.,I also want to go to the zoo.,[sound:DE1K_auch_sentence.mp3]
5,Möchtest du lieber Müsli oder Rührei?,Would you prefer granola or scrambled eggs?,[sound:DE1K_oder_sentence.mp3]
6,Möchtest du vielleicht etwas trinken?,Maybe you want to drink something?,[sound:DE1K_vielleicht_sentence.mp3]
7,Wer singt dieses schreckliche Lied?,Who sings this terrible song?,[sound:DE1K_wer_sentence.mp3]
8,"Ich liebe diese Chips, deswegen teile ich sie so ungerne.","I love these chips, so I feel reluctant to share them.",[sound:DE1K_lieb_sentence.mp3]
9,Irgendwie tun mir diese hässlichen Vögel leid.,Somehow I feel sorry for these ugly birds.,[sound:DE1K_leid_sentence.mp3]
10,Meine verrückte Tante heißt Svenja.,My crazy aunt's name is Svenja.,[sound:DE1K_heißen_sentence.mp3]
11,Dank Refold verstehe ich jeden Tag mehr Deutsch.,"Thanks to Refold, I understand more German every day.",[sound:DE1K_verstehen_sentence.mp3]
12,Der Polizist hat ein Foto von ihm gefunden.,The policeman found a photo of him.,[sound:DE1K_von_sentence.mp3]
13,Er hat schon alle Zutaten bereit.,He already has all the ingredients.,[sound:DE1K_schon_sentence.mp3]
14,Ich habe den ganzen Kuchen alleine aufgegessen.,I ate the whole cake on my own.,[sound:DE1K_ganz_sentence.mp3]
15,"Ich weiß, dass du mich angelogen hast.",I know you lied to me.,[sound:DE1K_wissen_sentence.mp3]
16,Hast du diese Torte wirklich selbst gebacken?,Did you really bake this cake yourself?,[sound:DE1K_wirklich_sentence.mp3]
17,Ich habe eine Trompete in der Bahn gehört.,I heard a trumpet on the train.,[sound:DE1K_hören_sentence.mp3]
18,Ich habe bis Donnerstag keine andere Wahl.,I have no other choice until Thursday.,[sound:DE1K_bis_sentence.mp3]
